tag,embedding
UNS.SmartSuite.FD20DetectorSize,"[0.0428970567882061, -0.02524053305387497, -0.016204895451664925, 0.022574279457330704, 0.026647722348570824, 0.054124943912029266, 0.026366284117102623, 0.11761140078306198, -0.060109201818704605, 0.06239033117890358, 0.049355313181877136, -0.04467455670237541, 0.012546204030513763, -0.026751410216093063, -0.0835426077246666, 0.04784443601965904, -0.023996280506253242, 0.020693089812994003, -0.028780724853277206, -0.03679429739713669, -0.02026352658867836, -0.007650666404515505, -0.056554198265075684, 0.07056684046983719, -0.03501679375767708, 0.0031606212724000216, -0.048733189702034, 0.01324979867786169, 0.029950913041830063, -0.015464270487427711, -0.014516268856823444, 0.012679516337811947, -0.026514409109950066, -0.02495909482240677, 0.0034365043975412846, -0.0369720496237278, 0.023166779428720474, 0.054539695382118225, 0.003247644752264023, -0.00100539973936975, -0.01698995940387249, 0.04834806174039841, -0.008502385579049587, 0.06327908486127853, -0.04046780243515968, -0.12217365950345993, -0.07838784903287888, 0.027373535558581352, -0.038868051022291183, 0.01977471262216568, -0.026232970878481865, -0.02088565193116665, -0.10439863801002502, 0.03125441446900368, -0.007724728900939226, 0.003197652520611882, 0.02583303302526474, 0.18106824159622192, 0.03747567534446716, -0.01022063847631216, 0.006158304866403341, 0.004169723950326443, 0.025359032675623894, 0.01117604598402977, -0.06369383633136749, 0.027136534452438354, -0.027269847691059113, 0.04464493319392204, 0.046185433864593506, 0.030661914497613907, -0.02072271518409252, 0.023625968024134636, -0.009694794192910194, 0.014856956899166107, -0.008924542926251888, -0.03934204950928688, -0.0005327878170646727, -0.08010610193014145, -0.02075233869254589, -0.014034861698746681, -0.0472223125398159, 0.011457483284175396, -0.008924542926251888, -0.0011729663237929344, 0.02472209371626377, -0.016634458675980568, -0.0359351709485054, -0.11293064802885056, -0.04793331399559975, 0.020693089812994003, 0.028040098026394844, 0.061501581221818924, 0.061323828995227814, -0.007709916215389967, 0.02732909843325615, 0.03163954243063927, -0.0286918506026268, 0.010161387734115124, -0.04526706039905548, -0.05006631463766098, 0.067545086145401, -0.03498717024922371, -0.021715153008699417, -0.05498407036066055, -0.02162627875804901, -0.012946141883730888, 0.011694483458995819, -0.058746449649333954, 0.025003531947731972, 0.09871062636375427, 0.016856646165251732, 0.0036660984624177217, -0.04094180464744568, 0.006384195759892464, -0.02983241342008114, 0.07992835342884064, 0.00508439727127552, 0.0065471334382891655, -0.058716826140880585, 0.03700167313218117, -0.01709364727139473, -0.011301952414214611, -0.03240979090332985, 0.01835271157324314, -0.04517818242311478, 0.07323309779167175, -0.008346854709088802, 0.015064331702888012, 0.007258134428411722, -0.08822336792945862, -0.012538797222077847, 0.04627431184053421, 0.05548769608139992, 0.06458258628845215, -0.041238054633140564, 0.013605298474431038, -0.042630430310964584, 0.07797309756278992, -0.022811278700828552, 0.08123185485601425, -0.04411168396472931, -0.04630393534898758, 0.053739819675683975, 0.025388658046722412, -0.07684735208749771, 0.07032984495162964, -0.04550405964255333, 0.06221257895231247, -0.015316144563257694, 0.035668544471263885, -0.02444065734744072, -0.09124511480331421, -0.04209718108177185, -0.05608019605278969, 0.06902633607387543, 0.026855098083615303, 0.005717632360756397, 0.05288069322705269, -0.03397991880774498, 0.024425843730568886, -0.032498668879270554, 0.027032848447561264, -0.023625968024134636, -0.05975370109081268, -0.0024107375647872686, -0.021048590540885925, -0.01116123329848051, 0.08520161360502243, -0.031521040946245193, 0.03987530246376991, 0.04514855891466141, 0.00919116847217083, 0.04805181175470352, 0.024396218359470367, 0.019715463742613792, -0.0015997521113604307, -0.0654713362455368, 0.011442671529948711, 0.006428633350878954, -0.12786166369915009, -0.0013571970630437136, 0.0638715848326683, 0.024366594851017, 0.032676417380571365, -0.02015983872115612, -0.05498407036066055, 0.09420762211084366, 0.045030057430267334, 0.04651131108403206, -0.05445082113146782, 0.006028695497661829, 0.028765913099050522, 0.0219669658690691, 0.037623800337314606, 0.03463166952133179, 0.022011402994394302, -0.03623142093420029, 0.05741332471370697, -0.03623142093420029, -0.011250108480453491, -0.04731118679046631, 0.011494514532387257, -0.024203656241297722, 0.04328218102455139, -0.0139459865167737, 0.04870356246829033, -0.003097668057307601, 0.0015969746746122837, 0.04523743316531181, 0.008554229512810707, 0.03323929384350777, -0.0885196179151535, 0.005432491190731525, 0.00983551237732172, -0.03750529885292053, 0.050955064594745636, -0.03243941813707352, 0.023655593395233154, -0.07352934777736664, -0.022292841225862503, 0.10990889370441437, -0.0739440992474556, -0.04585956037044525, -0.023492654785513878, -0.04707418754696846, -0.012286984361708164, 0.09503712505102158, 0.009805887937545776, -0.00021292996825650334, 0.019093336537480354, -0.04227492958307266, -0.05131056532263756, -0.05919082835316658, 0.024277718737721443, 0.08650511503219604, -0.019019274041056633, -0.033891044557094574, -0.01897483691573143, -0.005565803963690996, 0.018604524433612823, 0.015523520298302174, 0.03655729815363884, -0.022263215854763985, -0.0728183463215828, 0.08798636496067047, -0.055724699050188065, -0.04034930095076561, 0.045385558158159256, 0.026366284117102623, 0.04351918026804924, -0.0524955689907074, 0.01131676509976387, -0.018293460831046104, 0.023033468052744865, 0.05424344539642334, -0.010279888287186623, 0.04150467738509178, -0.009065262041985989, -0.03199504315853119, -0.015256894752383232, -0.01096867024898529, 0.04209718108177185, -0.0504218153655529, 0.0013609002344310284, -0.024203656241297722, 0.07009284198284149, 0.020130213350057602, -0.10054738074541092, 0.06043507903814316, -0.05379907041788101, -0.005451007280498743, -0.10576138645410538, -0.017256584018468857, 0.023685218766331673, -0.01216848473995924, 0.028884412720799446, -0.05622832477092743, 0.054776694625616074, 0.09029711782932281, 0.045563310384750366, -0.06677483767271042, 0.03255791589617729, 0.03261716663837433, -0.036675795912742615, -0.07246284186840057, -0.030928540974855423, 0.009702200070023537, 0.03572779521346092, -0.009768856689333916, -0.00033582758624106646, -0.05507294461131096, -0.034246545284986496, 0.0012461032019928098, 0.01691589690744877, -0.024662844836711884, 0.032646793872117996, -0.03383179381489754, -0.026958784088492393, -0.04245268180966377, -0.043015554547309875, -0.06458258628845215, -0.08022460341453552, -0.02165590226650238, -0.06991509348154068, 0.11233814805746078, -0.015597582794725895, 0.0401715524494648, 0.028677036985754967, -0.025744158774614334, -0.021507777273654938, 0.06647858768701553, -0.0005767624825239182, -0.051162440329790115, -0.012664703652262688, 0.012390672229230404, 0.008613480255007744, -0.003162472741678357, -0.0696188434958458, 0.020130213350057602, -0.004914053250104189, -0.006273102015256882, -0.028558537364006042, -0.05759107321500778, 0.06126457825303078, 0.07791385054588318, -0.008954168297350407, -0.04153430461883545, 0.10398388653993607, 0.0003207836125511676, 0.028602974489331245, -0.044615309685468674, 0.02085602656006813, -0.016041958704590797, 0.02575897052884102, -0.01758246123790741, -0.014997676014900208, 0.05489519611001015, -0.03475017100572586, -0.02266315370798111, 0.0734700933098793, 0.033061541616916656, 0.004699271637946367, -0.06064245477318764, -0.06404933333396912, -0.07104083895683289, 0.05365094542503357, 0.04822956398129463, -0.034513168036937714, 0.013723799027502537, -0.034690920263528824, 0.001990432385355234, -0.04014192894101143, 0.05676157400012016, 0.06861159205436707, -0.061679329723119736, 0.09414837509393692, -0.038868051022291183, -0.02207065373659134, -0.04046780243515968, -0.007606228813529015, -0.07489209622144699, -0.042837806046009064, 0.03158029168844223, 0.012279578484594822, 0.0103243263438344, -0.0316099151968956, 0.04171205312013626, 0.048762813210487366, 0.010161387734115124, 0.047992561012506485, 0.0332985445857048, 0.022159527987241745, -0.07418109476566315, 0.08289086073637009, -0.0364980474114418, 0.00030018496909178793, 0.0664193332195282, 0.022381717339158058, -0.027936412021517754, -0.01013176329433918, -0.0680190846323967, 0.03098778985440731, -0.040645550936460495, 0.009524449706077576, 0.07560309767723083, 0.006524914875626564, 0.0017293615965172648, -0.05608019605278969, -0.039638303220272064, 0.030232351273298264, -0.05560619756579399, -0.04428943246603012, -0.025610845535993576, -0.040615927428007126, 0.05720594897866249, 0.032913416624069214, 0.036083295941352844, -0.042808178812265396, 0.09557037055492401, -0.02910660021007061, -0.02018946409225464, 0.007132227998226881, -0.04153430461883545, -0.033891044557094574, 0.07927660644054413, -0.0081839170306921, -0.007195181213319302, -0.02552197128534317, 0.0007466435199603438, -0.06040545180439949, -0.0029180662240833044, -0.0015367988962680101, 0.016634458675980568, 0.04372655600309372, 0.09367436915636063, -0.05480632185935974, -0.014842144213616848, 0.04070480167865753, -0.010213231667876244, -0.0761955976486206, 0.029950913041830063, 0.03928280249238014, -0.06535283476114273, 0.070744588971138, 0.010709451511502266, 0.0099021689966321, -0.04470418393611908, 0.017360271885991096, 0.03774229809641838, -0.06464183330535889, -0.03572779521346092, 0.042393431067466736, -0.015642020851373672, -0.0026810660492628813, 0.008569042198359966, 0.020145026966929436, -0.000814225641079247, 0.0380977988243103, -0.037268299609422684, 0.026884721592068672, -0.0033031918574124575, -0.04808143898844719, -0.0305730402469635, -0.0638715848326683, -0.05895382538437843, 0.019508088007569313, 0.027521660551428795, -0.07915810495615005, -0.029165850952267647, -0.038660675287246704, -0.04138617962598801, 0.036468423902988434, -0.003891989355906844, -0.03860142454504967, 0.03679429739713669, -0.01213145349174738, -0.016234520822763443, -0.05252519249916077, -0.0018534164410084486, -0.02158183977007866, 0.029269538819789886, 0.05231781676411629, -0.013190547935664654, 0.01838233694434166, 0.03279491886496544, 0.00245887809433043, -0.023937031626701355, -0.009768856689333916, 0.0012933181133121252, 0.006273102015256882, -0.02544790878891945, -0.024396218359470367, 0.09308186918497086, -0.004617802798748016, -0.04689643532037735, 0.003866067621856928, -0.025092408061027527, 0.028765913099050522, 0.09041561931371689, -0.0434599295258522, 0.036053672432899475, -0.01023545116186142, -0.051547568291425705, -0.00504736602306366, 0.05726519972085953, -0.06855233758687973, 0.030099039897322655, -0.05190306901931763, 0.025122033432126045, 0.02245577983558178, -0.03397991880774498, -0.02137446589767933, -0.051162440329790115, 0.026307033374905586, -0.040230803191661835, 0.03735717386007309, -0.028143785893917084, -0.031876541674137115, 0.01970065012574196, 0.10890164226293564, 0.0012905407929793, 0.018885962665081024, -0.029017725959420204, 0.0034402075689285994, 0.040823303163051605, 0.021507777273654938, 0.017182521522045135, -0.02307790517807007, -0.054124943912029266, 0.0034531685523688793, 0.05658382177352905, 0.02575897052884102]"
UNS.SmartSuite.ManoeuvreBeam,"[0.02869362384080887, -0.029783451929688454, -0.025097191333770752, -0.00017879996448755264, 0.06193339079618454, 0.01815342716872692, -0.06632383912801743, 0.09895641356706619, -0.07927723228931427, 0.029238538816571236, 0.06321004778146744, -0.05505190044641495, 0.009177912026643753, 0.052124932408332825, -0.04975844919681549, 0.05411776155233383, 0.015786942094564438, -0.01415219996124506, -0.01500070933252573, -0.025346294045448303, 0.05720042064785957, -0.05259200185537338, -0.08718626946210861, -0.03661823272705078, -0.04103982448577881, -0.036805059760808945, -0.024801379069685936, 0.03403378278017044, -0.011988111771643162, -0.028117572888731956, -0.01605161465704441, -0.024816948920488358, 0.008127005770802498, 0.04636441171169281, -0.0007356341811828315, -0.059224389493465424, 0.01796659827232361, 0.04720513895153999, -0.04524344578385353, -0.0669466033577919, 0.009769532829523087, -0.06520287692546844, -0.04639555141329765, -0.017857616767287254, -0.013319259509444237, -0.025704380124807358, -0.10132290422916412, 0.00038727829814888537, 0.05555010959506035, 0.007601553108543158, 0.03521702438592911, -0.0010869092075154185, -0.09808455407619476, 0.032290056347846985, 0.008524014614522457, 0.04910455271601677, 0.039887718856334686, 0.1749953031539917, -0.0060641164891421795, 0.028678055852651596, 0.00233923876658082, -0.04047933965921402, -0.03250802308320999, 0.002823823131620884, -0.0514710359275341, -0.014183337800204754, 0.035684093832969666, -0.03960747644305229, -0.03275712579488754, -0.01871391013264656, -0.010010852478444576, 0.019414514303207397, -0.037365544587373734, -0.005063809920102358, 0.02025523968040943, 0.01798216812312603, 0.03839309513568878, -0.0004303362511564046, 0.021967826411128044, 0.038579925894737244, -0.02701217494904995, 0.0051727923564612865, 0.0062665133737027645, 0.04586620628833771, 0.08650123327970505, -0.03752123564481735, -0.005235068500041962, -0.11888470500707626, -0.04832610487937927, -0.016004908829927444, -0.06713342666625977, 0.08432158082723618, 0.010680317878723145, -0.014121062122285366, 0.0163629949092865, 0.015833649784326553, 0.05393093451857567, 0.022076809778809547, -0.027479244396090508, 0.0704963281750679, 0.009559351950883865, 0.006893164478242397, 0.061808839440345764, -0.02573551796376705, -0.04256558418273926, -0.03297509253025055, 0.01958577334880829, 0.0015676013426855206, 0.025501983240246773, 0.07055860012769699, 0.036400265991687775, -0.02411634474992752, 0.051159657537937164, 0.014673760160803795, -0.008329402655363083, -0.029067279770970345, 0.02145404927432537, -0.02338460274040699, -0.013389320112764835, -0.026576243340969086, -0.009971929714083672, 0.022466033697128296, -0.041320063173770905, -0.025050483644008636, -0.03378468006849289, -0.026731932535767555, -0.0011676732683554292, -0.06081242486834526, 0.08127006143331528, -0.019866013899445534, -0.019071996212005615, -0.07105681300163269, -0.019788170233368874, 0.03686733543872833, -0.07192867249250412, 0.06893943250179291, -0.0354972667992115, 0.018044443801045418, -0.026545105502009392, -0.006243159528821707, -0.016067184507846832, -0.09933007508516312, 0.0077455658465623856, 0.061559733003377914, -0.08251557499170303, 0.043188340961933136, -0.05053689703345299, 0.10088697075843811, -0.04935365542769432, 0.016020476818084717, 0.04300151392817497, -0.05041234567761421, -0.038673337548971176, 0.04449613392353058, 0.07336101680994034, -0.0009852242656052113, -0.05178241804242134, 0.025361863896250725, -0.012937819585204124, 0.05321476235985756, -0.0022263636346906424, -0.06137290596961975, -0.08699943870306015, 0.019710324704647064, 0.011754577048122883, -0.035123612731695175, 0.0504746213555336, 0.09453482925891876, -0.06056331843137741, 0.056826766580343246, 0.008998868986964226, -0.03437630087137222, 0.004799136891961098, -0.017203718423843384, 0.014448010362684727, 0.008882101625204086, -0.03562181815505028, 0.02072230726480484, 0.026981037110090256, -0.0626184269785881, -0.08226647228002548, 0.011941405013203621, 0.036244578659534454, 0.019741462543606758, 0.028973866254091263, -0.021827705204486847, 0.07080770283937454, 0.0263738464564085, -0.007457539904862642, -0.05645310878753662, 0.023680413141846657, -0.04381110146641731, 0.03671164810657501, 0.04845065623521805, 0.07722212374210358, -0.006710228975862265, -0.03468767926096916, 0.01661209762096405, -0.010968344286084175, 0.0017592944204807281, 0.02128279209136963, 0.028927158564329147, 0.0011890806490555406, -0.0043709902092814445, -0.041102100163698196, 0.037303268909454346, 0.02137620560824871, -0.07329874485731125, 0.00822041928768158, -0.017951030284166336, -0.01218272466212511, -0.10331573337316513, 0.05505190044641495, 0.04443385824561119, -0.06775618344545364, 0.022045671939849854, -0.04975844919681549, -0.036493681371212006, -0.060127388685941696, -0.06280525028705597, 0.05542555823922157, -0.06925080716609955, 0.07068315148353577, 0.03481223061680794, -0.07772032916545868, 0.03780147433280945, 0.02427203394472599, 0.010859360918402672, -0.012252784334123135, -0.0031955325976014137, -0.009450368583202362, 0.05072372779250145, 0.022434895858168602, 0.029285244643688202, 0.04412247985601425, -0.013716268353164196, 0.0025649890303611755, -0.024334311485290527, 0.05523873120546341, 0.03081100434064865, -0.05078600347042084, 0.046956032514572144, -0.03291281685233116, -0.04838838055729866, 0.05660879984498024, 0.023010946810245514, 0.039078131318092346, 0.017935460433363914, -0.030468488112092018, -0.053432729095220566, -0.05290338397026062, 0.02596905268728733, -0.03879788890480995, 0.08201736956834793, 0.06613701581954956, -0.021064825356006622, 0.08949048072099686, 0.024069638922810555, 0.01815342716872692, 0.057947732508182526, -0.009022221900522709, 0.0588507317006588, 0.012128232978284359, 0.04708058759570122, 0.03717871755361557, -0.02976788394153118, -0.007698859088122845, -0.09223061800003052, -0.00923240277916193, -0.08899226784706116, -0.005779982544481754, -0.020924704149365425, -0.03839309513568878, 0.015732450410723686, 0.0017729172250255942, -0.045274585485458374, -0.02869362384080887, 0.06277411431074142, 0.04823268949985504, -0.06264956295490265, 0.01693904586136341, -0.02515946701169014, 0.07740895450115204, -0.011700086295604706, -0.05119079723954201, -0.006951548159122467, 0.0054997410625219345, 0.005106624215841293, 0.0018157318700104952, 0.10767504572868347, -0.026389416307210922, 0.0031021186150610447, 0.02136063575744629, 0.03418947383761406, 0.05548783391714096, 0.06137290596961975, 0.013474949635565281, -0.06087470054626465, -0.004674585070461035, -0.0014576454414054751, -0.03596433624625206, 0.028724761679768562, 0.02259058505296707, -0.07479336112737656, 0.08232875168323517, 0.02846008911728859, 0.040915269404649734, 0.05604831501841545, -0.033348746597766876, -0.003109903074800968, 0.08942820131778717, -0.02006841078400612, -0.059784870594739914, 0.006920410320162773, 0.0266229510307312, 0.047454241663217545, 0.09796000272035599, -0.00305541162379086, -0.04312606528401375, -0.03207209333777428, -0.05458483099937439, 0.015024062246084213, -0.04589734226465225, -0.03453199192881584, 0.052747692912817, -0.02377382665872574, 0.05280996859073639, 0.037770338356494904, -0.041818272322416306, -0.019009720534086227, -0.009419230744242668, 0.001314605469815433, 0.06243159621953964, 0.010259956121444702, -0.04577279090881348, -0.07012267410755157, 0.046956032514572144, -0.05888187140226364, -0.0367739237844944, 0.03848651051521301, 0.023991793394088745, -0.07466880977153778, -0.0337224043905735, -0.011427628807723522, -0.0451500341296196, 0.017842046916484833, 0.021407343447208405, -0.03341102600097656, 0.09571807086467743, 0.019056428223848343, 0.0017378870397806168, -0.01790432259440422, 0.0425967201590538, -0.005001533776521683, 0.005032671615481377, 0.019056428223848343, -0.010221033357083797, -0.017842046916484833, -0.07292509078979492, 0.05645310878753662, -0.014899510890245438, 0.0016765841282904148, 0.05966031923890114, 0.058352526277303696, 0.0616220086812973, 0.01560789905488491, 0.00806473009288311, -0.006363819353282452, -0.024552276358008385, 0.011855775490403175, 0.04773448407649994, -0.001713560544885695, 0.04063503071665764, -0.0504746213555336, 0.015522269532084465, -0.07074543088674545, 0.04929137974977493, -0.0037073625717312098, -0.00701771629974246, -0.007955746725201607, 0.0067219058983027935, 0.006760828197002411, 0.022715136408805847, -0.03478109464049339, 0.11651822179555893, 0.04353085905313492, -0.04206737503409386, -0.027681641280651093, 0.020846860483288765, 0.009427015669643879, -0.028351107612252235, -0.014572562649846077, -0.02886488288640976, 0.0013039017794653773, 0.024692397564649582, -0.014541423879563808, 0.05243631452322006, -0.04571051523089409, 0.04468296468257904, 0.00992522295564413, 0.01190248318016529, 0.005410219542682171, -0.020426496863365173, -0.08631440997123718, 0.04166258126497269, 0.02807086519896984, -0.03509247303009033, -0.05178241804242134, 0.037458959966897964, -0.061964526772499084, 0.018511513248085976, -0.024552276358008385, 0.07236460596323013, -0.03306850790977478, 0.07466880977153778, -0.03580864518880844, 0.013062371872365475, 0.03942064940929413, -0.0398254431784153, -0.010400076396763325, 0.04636441171169281, 0.08861861377954483, -0.07535384595394135, 0.11091338843107224, -0.09509530663490295, 0.06464239209890366, -0.03848651051521301, -0.0018458968261256814, -0.017234858125448227, -0.04016796126961708, 0.0464266873896122, -0.041164375841617584, -0.04178713262081146, -0.007920716889202595, -0.0043865591287612915, 0.018480375409126282, 0.07236460596323013, 0.04571051523089409, -0.05299679562449455, 0.005639861803501844, -0.010913852602243423, 0.058819595724344254, -0.0735478475689888, -0.0474231019616127, 0.08158143609762192, 0.0181378573179245, 0.04219192638993263, -0.09553124010562897, 0.03655595704913139, 0.014751605689525604, -0.05508304014801979, 0.014658191241323948, -0.03708530217409134, -0.024318741634488106, 0.03418947383761406, 0.016160598024725914, -0.015016278252005577, -0.019383376464247704, -0.04926024377346039, -0.03443857654929161, -0.08581619709730148, 0.04782789573073387, 0.03185412660241127, -0.004265899769961834, 0.052280623465776443, 0.028896020725369453, -0.0469248965382576, 0.03129364177584648, -0.0038766751531511545, 0.03612002730369568, 0.00013525548274628818, -0.009177912026643753, 0.06514059752225876, 0.015833649784326553, -0.11477449536323547, 0.025143897160887718, -0.02869362384080887, 0.00023706199135631323, 0.01742168515920639, -0.04916682839393616, -0.06308549642562866, -0.060189664363861084, -0.019632479175925255, -0.031091246753931046, 0.013054586946964264, -0.06651066988706589, 0.058352526277303696, -0.02056661807000637, -0.08481978625059128, 0.04627100005745888, 0.033909231424331665, -0.04751651734113693, -0.059068698436021805, 0.003576972521841526, -0.005476387683302164, -0.019165409728884697, 0.006546754855662584, 0.027027742937207222, -0.0254864152520895, 0.0785921961069107, -0.003452420700341463, 0.015351011417806149, 0.0021310036536306143, -0.009380308911204338, -0.025190604850649834, 0.01717258058488369, 0.004265899769961834, 0.026015760377049446, 0.021111533045768738, -0.012424043379724026, 0.03493678569793701, 0.048980001360177994]"
